keyword,track_name,artist_name,album_name,release_date,genre,preview_url,track_view_url
bruno major,Easily,Bruno Major,Easily - Single,2016-11-25T12:00:00Z,Alternative,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/7e/a7/e1/7ea7e177-65a2-61df-8379-92f4172de116/mzaf_15470685503218934571.plus.aac.p.m4a,https://music.apple.com/us/album/easily/1179039914?i=1179040481&uo=4
taylor swift,"I Knew It, I Knew You (From ""Toy Story 5"")",Taylor Swift,"I Knew It, I Knew You (From ""Toy Story 5"") - Single",2026-06-05T12:00:00Z,Country,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/73/76/42/737642e6-c478-bed7-f11f-efee96072450/mzaf_5163950318414409594.plus.aac.p.m4a,https://music.apple.com/us/album/i-knew-it-i-knew-you-from-toy-story-5/6775527442?i=6775527443&uo=4
raisa,Raisa,Fly Project,Fly Project,2005-09-10T12:00:00Z,Dance,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/8f/39/11/8f39110b-6839-45df-ed17-cf0583b9400b/mzaf_3296262613274386176.plus.aac.p.m4a,https://music.apple.com/us/album/raisa/982556288?i=982556292&uo=4
tulus,Monokrom,Tulus,Monokrom,2016-08-03T12:00:00Z,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/f0/7b/00/f07b00d4-cea0-79f0-3062-7e2b2d2d274a/mzaf_7698224852945153762.plus.aac.p.m4a,https://music.apple.com/us/album/monokrom/1137907436?i=1137907946&uo=4
bruno mars,Risk It All,Bruno Mars,The Romantic,2026-02-27T08:00:00Z,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/61/fc/d7/61fcd7e8-ea20-2f90-3672-09516cd050e6/mzaf_12696195794831485731.plus.aac.p.m4a,https://music.apple.com/us/album/risk-it-all/1866732792?i=1866732797&uo=4
the weeknd,Call Out My Name,The Weeknd,"My Dear Melancholy,",2018-03-30T12:00:00Z,R&B/Soul,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/d1/2f/3d/d12f3d43-a2e2-eba4-8db5-91f3f3c13f5a/mzaf_8470584399239689698.plus.aac.p.m4a,https://music.apple.com/us/album/call-out-my-name/1363309866?i=1363310482&uo=4
bernadya,Asumsi,Adrian Khalif & Bernadya,HARAP-HARAP EMAS,2024-09-27T12:00:00Z,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/37/a9/52/37a952fc-8ced-a1f1-0e61-f12da71d38ac/mzaf_8086567056045188711.plus.aac.p.m4a,https://music.apple.com/us/album/asumsi/1766988433?i=1766988773&uo=4
perunggu,33x,Perunggu,Memorandum,2022-03-11T12:00:00Z,Alternative,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/64/d3/23/64d323bf-6e0b-2d07-6ce2-da0ebc432081/mzaf_2093128220087522458.plus.aac.p.m4a,https://music.apple.com/us/album/33x/1867165025?i=1867165290&uo=4
Hivi,Remaja,HIVI!,Kereta Kencan,2017-02-23T12:00:00Z,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/81/06/5a/81065a39-b0f3-db70-75fb-dda01c4baaee/mzaf_7131262189763741271.plus.aac.p.m4a,https://music.apple.com/us/album/remaja/1539567416?i=1539567850&uo=4
pamungkas,To the Bone,Pamungkas,Flying Solo,2019-06-14T12:00:00Z,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/af/19/12/af1912b2-b7c1-568b-2fd8-d90c4f0ea72b/mzaf_14825437684461051115.plus.aac.p.m4a,https://music.apple.com/us/album/to-the-bone/1787344762?i=1787344772&uo=4
