keyword,track_name,artist_name,album_name,release_date,genre,preview_url,track_view_url,html_title,html_description,html_image,status_code
bruno major,Easily,Bruno Major,Easily - Single,2016-11-25T12:00:00Z,Alternative,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/7e/a7/e1/7ea7e177-65a2-61df-8379-92f4172de116/mzaf_15470685503218934571.plus.aac.p.m4a,https://music.apple.com/us/album/easily/1179039914?i=1179040481&uo=4,Easily by Bruno Major on AppleÂ Music,Song Â· 2016 Â· Duration 3:30,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/2b/66/a9/2b66a929-9031-df5f-fcf2-0d2fd3f1ea3f/5054526527898_1.jpg/1200x630wp-60.jpg,200
taylor swift,"I Knew It, I Knew You (From ""Toy Story 5"")",Taylor Swift,"I Knew It, I Knew You (From ""Toy Story 5"") - Single",2026-06-05T12:00:00Z,Country,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/73/76/42/737642e6-c478-bed7-f11f-efee96072450/mzaf_5163950318414409594.plus.aac.p.m4a,https://music.apple.com/us/album/i-knew-it-i-knew-you-from-toy-story-5/6775527442?i=6775527443&uo=4,"I Knew It, I Knew You (From ""Toy Story 5"") by Taylor Swift on AppleÂ Music",Song Â· 2026 Â· Duration 2:58,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/34/35/6c/34356cb4-bd0b-3bac-b118-1a6d7264dc64/26UMGIM69942.rgb.jpg/1200x630wp-60.jpg,200
raisa,Raisa,Fly Project,Fly Project,2005-09-10T12:00:00Z,Dance,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/8f/39/11/8f39110b-6839-45df-ed17-cf0583b9400b/mzaf_3296262613274386176.plus.aac.p.m4a,https://music.apple.com/us/album/raisa/982556288?i=982556292&uo=4,Raisa by Fly Project on AppleÂ Music,Song Â· 2005 Â· Duration 3:22,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/59/76/2a/59762a48-9423-b954-2ade-628f17fb5e3e/3832_Fly_Project_CDf1.jpg/1200x630wp-60.jpg,200
tulus,Monokrom,Tulus,Monokrom,2016-08-03T12:00:00Z,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/f0/7b/00/f07b00d4-cea0-79f0-3062-7e2b2d2d274a/mzaf_7698224852945153762.plus.aac.p.m4a,https://music.apple.com/us/album/monokrom/1137907436?i=1137907946&uo=4,Monokrom by Tulus on AppleÂ Music,Song Â· 2016 Â· Duration 3:34,https://is1-ssl.mzstatic.com/image/thumb/Music18/v4/d1/8f/41/d18f41cf-45e4-39f4-4d10-0a0af01f7eb7/cover.jpg/1200x630wp-60.jpg,200
bruno mars,Risk It All,Bruno Mars,The Romantic,2026-02-27T08:00:00Z,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/61/fc/d7/61fcd7e8-ea20-2f90-3672-09516cd050e6/mzaf_12696195794831485731.plus.aac.p.m4a,https://music.apple.com/us/album/risk-it-all/1866732792?i=1866732797&uo=4,Risk It All by Bruno Mars on AppleÂ Music,Song Â· 2026 Â· Duration 3:24,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/ed/46/bf/ed46bf4e-7cb9-965a-54f3-03059977fe6c/075679589293.jpg/1200x630wp-60.jpg,200
the weeknd,Call Out My Name,The Weeknd,"My Dear Melancholy,",2018-03-30T12:00:00Z,R&B/Soul,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/d1/2f/3d/d12f3d43-a2e2-eba4-8db5-91f3f3c13f5a/mzaf_8470584399239689698.plus.aac.p.m4a,https://music.apple.com/us/album/call-out-my-name/1363309866?i=1363310482&uo=4,Call Out My Name by The Weeknd on AppleÂ Music,Song Â· 2018 Â· Duration 3:48,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2a/aa/b4/2aaab42a-a4cb-a600-4a25-d78961495960/18UMGIM17204.rgb.jpg/1200x630wp-60.jpg,200
bernadya,Asumsi,Adrian Khalif & Bernadya,HARAP-HARAP EMAS,2024-09-27T12:00:00Z,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/37/a9/52/37a952fc-8ced-a1f1-0e61-f12da71d38ac/mzaf_8086567056045188711.plus.aac.p.m4a,https://music.apple.com/us/album/asumsi/1766988433?i=1766988773&uo=4,Asumsi by Adrian Khalif & Bernadya on AppleÂ Music,Song Â· 2024 Â· Duration 4:21,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/97/28/60/972860fa-43c4-da2f-3d6b-1d65188a3856/198704145087_Cover.jpg/1200x630wp-60.jpg,200
perunggu,33x,Perunggu,Memorandum,2022-03-11T12:00:00Z,Alternative,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/64/d3/23/64d323bf-6e0b-2d07-6ce2-da0ebc432081/mzaf_2093128220087522458.plus.aac.p.m4a,https://music.apple.com/us/album/33x/1867165025?i=1867165290&uo=4,33x by Perunggu on AppleÂ Music,Song Â· 2022 Â· Duration 7:14,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/46/f9/d8/46f9d899-0194-e9f1-5ea0-c4c4719a53b7/3551441.jpg/1200x630wp-60.jpg,200
Hivi,Remaja,HIVI!,Kereta Kencan,2017-02-23T12:00:00Z,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/81/06/5a/81065a39-b0f3-db70-75fb-dda01c4baaee/mzaf_7131262189763741271.plus.aac.p.m4a,https://music.apple.com/us/album/remaja/1539567416?i=1539567850&uo=4,Remaja by HIVI! on AppleÂ Music,Song Â· 2017 Â· Duration 3:38,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/22/a2/4e/22a24e28-ff3a-3840-e98f-7a465a17a00b/03614973734182_Cover.jpg/1200x630wp-60.jpg,200
pamungkas,To the Bone,Pamungkas,Flying Solo,2019-06-14T12:00:00Z,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/af/19/12/af1912b2-b7c1-568b-2fd8-d90c4f0ea72b/mzaf_14825437684461051115.plus.aac.p.m4a,https://music.apple.com/us/album/to-the-bone/1787344762?i=1787344772&uo=4,To the Bone by Pamungkas on AppleÂ Music,Song Â· 2019 Â· Duration 5:44,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/f4/42/c7/f442c726-f2a1-c045-829e-45f33f2fe1d0/3615939061533.png/1200x630wp-60.jpg,200
